date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:28	493788/493788	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Nov%202025%2019:59:27%20GMT	https://tincupchallenge.org/	./tincupchallenge.org/index.html	(from )
12:59:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Nov%202025%2019:59:27%20GMT	https://tincupchallenge.org/robots.txt		(from )
12:59:29	2352/2352	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22675cf9fd-930%22	https://cftetonvalley.org/wp-content/uploads/2024/06/Ton-Cup_Outline.svg	./cftetonvalley.org/wp-content/uploads/2024/06/Ton-Cup_Outline.svg	(from https://tincupchallenge.org/)
12:59:29	0/0	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Nov%202025%2019:59:29%20GMT	https://tincupchallenge.org/events/?ical=1	./tincupchallenge.org/events/indexedf3.html	(from https://tincupchallenge.org/)
12:59:29	650/650	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Nov%202025%2019:59:29%20GMT	https://cftetonvalley.org/wp-content/uploads/2024/06/Donate_to_Tin-Cup-01.svg	./cftetonvalley.org/wp-content/uploads/2024/06/Donate_to_Tin-Cup-01.1.delayed	(from https://tincupchallenge.org/)
12:59:30	13733/13733	---MCZ	200	added ('OK')	application/json	date:Mon,%2017%20Nov%202025%2019:59:30%20GMT	https://tincupchallenge.org/wp-json/tribe/tickets/v1/	./tincupchallenge.org/wp-json/tribe/tickets/v1/index.html	(from https://tincupchallenge.org/)
12:59:31	41750/41750	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267f59432-a316%22	https://cftetonvalley.org/wp-content/uploads/website/graphics/community-foundation-of-teton-valley_tincup_logo.svg	./cftetonvalley.org/wp-content/uploads/website/graphics/community-foundation-of-teton-valley_tincup_logo.svg	(from https://tincupchallenge.org/)
12:59:31	29721/29721	---MCZ	200	added ('OK')	application/json	date:Mon,%2017%20Nov%202025%2019:59:30%20GMT	https://tincupchallenge.org/wp-json/tribe/events/v1/	./tincupchallenge.org/wp-json/tribe/events/v1/index.html	(from https://tincupchallenge.org/)
12:59:32	117705/117705	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Nov%202025%2019:41:58%20GMT	https://mlkzvchgqxko.i.optimole.com/cb:XVt9.d4c1/w:auto/h:auto/q:70/g:sm/f:best/https://cftetonvalley.org/wp-content/uploads/Jacobs03.Jacobs9.jpg	./mlkzvchgqxko.i.optimole.com/cb_XVt9.d4c1/w_auto/h_auto/q_70/g_sm/f_best/https_/cftetonvalley.org/wp-content/uploads/Jacobs03.Jacobs9.jpg	(from https://tincupchallenge.org/)
12:59:32	1713218/1713218	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Nov%202025%2019:59:31%20GMT	https://tincupchallenge.org/tin-cup-challenge/nonprofits/	./tincupchallenge.org/tin-cup-challenge/nonprofits/index.html	(from https://tincupchallenge.org/)
12:59:32	381297/381297	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Nov%202025%2019:59:32%20GMT	https://tincupchallenge.org/tin-cup-challenge/tin-cup-event/	./tincupchallenge.org/tin-cup-challenge/tin-cup-event/index.html	(from https://tincupchallenge.org/)
12:59:32	373432/373432	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Nov%202025%2019:59:32%20GMT	https://tincupchallenge.org/tin-cup-challenge/tin-cup-giving/	./tincupchallenge.org/tin-cup-challenge/tin-cup-giving/index.html	(from https://tincupchallenge.org/)
12:59:33	117705/117705	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Nov%202025%2019:42:00%20GMT	https://mlkzvchgqxko.i.optimole.com/cb:XVt9.d4c1/w:792/h:1200/q:70/g:sm/f:best/https://cftetonvalley.org/wp-content/uploads/Jacobs03.Jacobs9.jpg	./mlkzvchgqxko.i.optimole.com/cb_XVt9.d4c1/w_792/h_1200/q_70/g_sm/f_best/https_/cftetonvalley.org/wp-content/uploads/Jacobs03.Jacobs9.jpg	(from https://tincupchallenge.org/)
12:59:34	128745/128745	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Nov%202025%2019:42:01%20GMT	https://mlkzvchgqxko.i.optimole.com/cb:XVt9.d4c1/w:auto/h:auto/q:70/g:sm/f:best/https://cftetonvalley.org/wp-content/uploads/Curren16.2024TinCup_JessCurren-14-Edit.jpg	./mlkzvchgqxko.i.optimole.com/cb_XVt9.d4c1/w_auto/h_auto/q_70/g_sm/f_best/https_/cftetonvalley.org/wp-content/uploads/Curren16.2024TinCup_JessCurren-14-Edit.jpg	(from https://tincupchallenge.org/)
12:59:35	128745/128745	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Nov%202025%2019:42:02%20GMT	https://mlkzvchgqxko.i.optimole.com/cb:XVt9.d4c1/w:1200/h:801/q:70/g:sm/f:best/https://cftetonvalley.org/wp-content/uploads/Curren16.2024TinCup_JessCurren-14-Edit.jpg	./mlkzvchgqxko.i.optimole.com/cb_XVt9.d4c1/w_1200/h_801/q_70/g_sm/f_best/https_/cftetonvalley.org/wp-content/uploads/Curren16.2024TinCup_JessCurren-14-Edit.jpg	(from https://tincupchallenge.org/)
12:59:36	284719/284719	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Nov%202025%2019:59:34%20GMT	https://tincupchallenge.org/tin-cup-challenge/tin-cup-join/	./tincupchallenge.org/tin-cup-challenge/tin-cup-join/index.html	(from https://tincupchallenge.org/)
12:59:37	132035/132035	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Nov%202025%2019:42:03%20GMT	https://mlkzvchgqxko.i.optimole.com/cb:XVt9.d4c1/w:auto/h:auto/q:70/g:sm/f:best/https://cftetonvalley.org/wp-content/uploads/Curren04.2024TinCup_JessCurren-26-Edit.jpg	./mlkzvchgqxko.i.optimole.com/cb_XVt9.d4c1/w_auto/h_auto/q_70/g_sm/f_best/https_/cftetonvalley.org/wp-content/uploads/Curren04.2024TinCup_JessCurren-26-Edit.jpg	(from https://tincupchallenge.org/)
